author,article
"Qingkai Zeng","IntEQ: recognizing benign integer overflows via equivalence checking across multiple precisions"
"Laura Dillon","IntEQ: recognizing benign integer overflows via equivalence checking across multiple precisions"
"Willem Visser","IntEQ: recognizing benign integer overflows via equivalence checking across multiple precisions"
"Laurie Williams","IntEQ: recognizing benign integer overflows via equivalence checking across multiple precisions"
"Hui Liu","Nomen est omen: exploring and exploiting similarities between argument and parameter names"
"Qiurong Liu","Nomen est omen: exploring and exploiting similarities between argument and parameter names"
"Cristian-Alexandru Staicu","Nomen est omen: exploring and exploiting similarities between argument and parameter names"
"Michael Pradel","Nomen est omen: exploring and exploiting similarities between argument and parameter names"
"Yue Luo","Nomen est omen: exploring and exploiting similarities between argument and parameter names"
"Laura Dillon","Nomen est omen: exploring and exploiting similarities between argument and parameter names"
"Willem Visser","Nomen est omen: exploring and exploiting similarities between argument and parameter names"
"Laurie Williams","Nomen est omen: exploring and exploiting similarities between argument and parameter names"
"Cindy Rubio-González","Floating-point precision tuning using blame analysis"
"Cuong Nguyen","Floating-point precision tuning using blame analysis"
"Benjamin Mehne","Floating-point precision tuning using blame analysis"
"Koushik Sen","Floating-point precision tuning using blame analysis"
"James Demmel","Floating-point precision tuning using blame analysis"
"William Kahan","Floating-point precision tuning using blame analysis"
"Costin Iancu","Floating-point precision tuning using blame analysis"
"Wim Lavrijsen","Floating-point precision tuning using blame analysis"
"David H. Bailey","Floating-point precision tuning using blame analysis"
"David Hough","Floating-point precision tuning using blame analysis"
"Laura Dillon","Floating-point precision tuning using blame analysis"
"Willem Visser","Floating-point precision tuning using blame analysis"
"Laurie Williams","Floating-point precision tuning using blame analysis"
"Daniel Fava","Crowdsourcing program preconditions via a classification game"
"Dan Shapiro","Crowdsourcing program preconditions via a classification game"
"Joseph Osborn","Crowdsourcing program preconditions via a classification game"
"Martin Schäef","Crowdsourcing program preconditions via a classification game"
"E. James Whitehead, Jr.","Crowdsourcing program preconditions via a classification game"
"Laura Dillon","Crowdsourcing program preconditions via a classification game"
"Willem Visser","Crowdsourcing program preconditions via a classification game"
"Laurie Williams","Crowdsourcing program preconditions via a classification game"
"Jeff Huang","Scalable thread sharing analysis"
"Laura Dillon","Scalable thread sharing analysis"
"Willem Visser","Scalable thread sharing analysis"
"Laurie Williams","Scalable thread sharing analysis"
"Yan Cai","Fixing deadlocks via lock pre-acquisitions"
"Lingwei Cao","Fixing deadlocks via lock pre-acquisitions"
"Laura Dillon","Fixing deadlocks via lock pre-acquisitions"
"Willem Visser","Fixing deadlocks via lock pre-acquisitions"
"Laurie Williams","Fixing deadlocks via lock pre-acquisitions"
"Valerio Terragni","Coverage-driven test code generation for concurrent classes"
"Shing-Chi Cheung","Coverage-driven test code generation for concurrent classes"
"Laura Dillon","Coverage-driven test code generation for concurrent classes"
"Willem Visser","Coverage-driven test code generation for concurrent classes"
"Laurie Williams","Coverage-driven test code generation for concurrent classes"
"Michael D. Ernst","Locking discipline inference and checking"
"Alberto Lovato","Locking discipline inference and checking"
"Damiano Macedonio","Locking discipline inference and checking"
"Fausto Spoto","Locking discipline inference and checking"
"Javier Thaine","Locking discipline inference and checking"
"Laura Dillon","Locking discipline inference and checking"
"Willem Visser","Locking discipline inference and checking"
"Laurie Williams","Locking discipline inference and checking"
"Jongwook Kim","Improving refactoring speed by 10X"
"Don Batory","Improving refactoring speed by 10X"
"Danny Dig","Improving refactoring speed by 10X"
"Maider Azanza","Improving refactoring speed by 10X"
"Laura Dillon","Improving refactoring speed by 10X"
"Willem Visser","Improving refactoring speed by 10X"
"Laurie Williams","Improving refactoring speed by 10X"
"Hitesh Sajnani","SourcererCC: scaling code clone detection to big-code"
"Vaibhav Saini","SourcererCC: scaling code clone detection to big-code"
"Jeffrey Svajlenko","SourcererCC: scaling code clone detection to big-code"
"Chanchal K. Roy","SourcererCC: scaling code clone detection to big-code"
"Cristina V. Lopes","SourcererCC: scaling code clone detection to big-code"
"Laura Dillon","SourcererCC: scaling code clone detection to big-code"
"Willem Visser","SourcererCC: scaling code clone detection to big-code"
"Laurie Williams","SourcererCC: scaling code clone detection to big-code"
"Saba Alimadadi","Understanding asynchronous interactions in full-stack JavaScript"
"Ali Mesbah","Understanding asynchronous interactions in full-stack JavaScript"
"Karthik Pattabiraman","Understanding asynchronous interactions in full-stack JavaScript"
"Laura Dillon","Understanding asynchronous interactions in full-stack JavaScript"
"Willem Visser","Understanding asynchronous interactions in full-stack JavaScript"
"Laurie Williams","Understanding asynchronous interactions in full-stack JavaScript"
"Hristina Palikareva","Shadow of a doubt: testing for divergences between software versions"
"Tomasz Kuchta","Shadow of a doubt: testing for divergences between software versions"
"Cristian Cadar","Shadow of a doubt: testing for divergences between software versions"
"Laura Dillon","Shadow of a doubt: testing for divergences between software versions"
"Willem Visser","Shadow of a doubt: testing for divergences between software versions"
"Laurie Williams","Shadow of a doubt: testing for divergences between software versions"
"Susan Landau","Mining the metadata: and its consequences"
"Antonia Bertolino","Mining the metadata: and its consequences"
"Gerardo Canfora","Mining the metadata: and its consequences"
"Sebastian Elbaum","Mining the metadata: and its consequences"
"Janet Siegmund","Views on internal and external validity in empirical software engineering"
"Norbert Siegmund","Views on internal and external validity in empirical software engineering"
"Sven Apel","Views on internal and external validity in empirical software engineering"
